"","gmDate","homeTeam","awayTeam","homeTeamRate","awayTeamRate","homeTeamlast10","awayTeamlast10","histRate","Result"
"85","2017-12-12","DAL","SA",0.375,0.866666666666667,0.5,0.8,0.166666666666667,"Win"
"86","2017-12-12","SAC","PHO",0.416666666666667,0.266666666666667,0.5,0.2,0.583333333333333,"Win"
"87","2017-12-13","IND","OKC",0.666666666666667,0.692307692307692,0.6,0.5,0.416666666666667,"Loss"
"88","2017-12-13","ORL","LAC",0.461538461538462,0.461538461538462,0.3,0.6,0.166666666666667,"Loss"
"89","2017-12-13","WAS","MEM",0.583333333333333,0.3125,0.5,0.1,0.583333333333333,"Win"
"90","2017-12-13","BOS","DEN",0.866666666666667,0.833333333333333,0.7,0.5,0.666666666666667,"Win"
"91","2017-12-13","MIA","POR",0.416666666666667,0.466666666666667,0.5,0.4,0.416666666666667,"Loss"
"92","2017-12-13","CHI","UTA",0.384615384615385,0.6875,0.4,0.6,0.666666666666667,"Win"
"93","2017-12-13","NO","MIL",0.533333333333333,0.692307692307692,0.4,0.7,0.75,"Win"
"94","2017-12-13","PHO","TOR",0.25,0.9,0.2,0.7,0.5,"Loss"
"95","2017-12-13","HOU","CHA",0.769230769230769,0.571428571428571,1,0.2,0.916666666666667,"Win"
"96","2017-12-14","ATL","DET",0.230769230769231,0.615384615384615,0.3,0.3,0.545454545454545,"Loss"
"97","2017-12-14","BKN","NY",0.428571428571429,0.722222222222222,0.5,0.5,0.458333333333333,"Loss"
"98","2017-12-14","CLE","LAL",0.75,0.461538461538462,0.9,0.3,0.75,"Win"
"99","2017-12-14","MIN","SAC",0.666666666666667,0.416666666666667,0.6,0.4,0.571428571428571,"Win"
"100","2017-12-14","GS","DAL",0.769230769230769,0.375,0.9,0.4,0.863636363636364,"Win"
"101","2017-12-15","CHA","MIA",0.533333333333333,0.416666666666667,0.2,0.5,0.25,"Loss"
"102","2017-12-15","IND","DET",0.625,0.615384615384615,0.5,0.3,0.708333333333333,"Loss"
"103","2017-12-15","ORL","POR",0.428571428571429,0.466666666666667,0.3,0.5,0.416666666666667,"Loss"
"104","2017-12-15","PHI","OKC",0.5,0.692307692307692,0.3,0.6,0,"Loss"
"105","2017-12-15","WAS","LAC",0.615384615384615,0.461538461538462,0.6,0.5,0.333333333333333,"Win"
"106","2017-12-15","BOS","UTA",0.8125,0.6875,0.6,0.6,0.75,"Loss"
"107","2017-12-15","TOR","BKN",0.909090909090909,0.428571428571429,0.8,0.5,0.708333333333333,"Win"
"108","2017-12-15","MEM","ATL",0.352941176470588,0.230769230769231,0.2,0.2,0.416666666666667,"Win"
"109","2017-12-15","MIL","CHI",0.642857142857143,0.384615384615385,0.6,0.5,0.416666666666667,"Loss"
"110","2017-12-15","DEN","NO",0.846153846153846,0.533333333333333,0.5,0.4,0.619047619047619,"Win"
"111","2017-12-15","HOU","SA",0.785714285714286,0.866666666666667,1,0.7,0.458333333333333,"Win"
"112","2017-12-16","CHA","POR",0.5,0.466666666666667,0.2,0.5,0.25,"Loss"
"113","2017-12-16","CLE","UTA",0.764705882352941,0.6875,0.9,0.5,0.583333333333333,"Win"
"114","2017-12-16","NY","OKC",0.736842105263158,0.692307692307692,0.6,0.6,0.333333333333333,"Win"
"115","2017-12-16","HOU","MIL",0.8,0.642857142857143,1,0.6,0.75,"Win"
"116","2017-12-16","MIA","LAC",0.461538461538462,0.461538461538462,0.5,0.4,0.5,"Win"
"117","2017-12-16","MIN","PHO",0.625,0.25,0.5,0.3,0.545454545454545,"Loss"
"118","2017-12-16","SA","DAL",0.875,0.375,0.7,0.3,0.833333333333333,"Win"
"119","2017-12-16","MEM","BOS",0.333333333333333,0.8125,0.2,0.7,0.5,"Loss"
"120","2017-12-17","TOR","SAC",0.916666666666667,0.416666666666667,0.9,0.4,0.416666666666667,"Win"
"121","2017-12-17","DET","ORL",0.642857142857143,0.428571428571429,0.3,0.3,0.523809523809524,"Win"
"122","2017-12-17","BKN","IND",0.4,0.625,0.4,0.6,0.318181818181818,"Loss"
"123","2017-12-17","WAS","CLE",0.571428571428571,0.764705882352941,0.5,0.9,0.318181818181818,"Loss"
"124","2017-12-18","CHA","NY",0.529411764705882,0.736842105263158,0.3,0.6,0.545454545454545,"Win"
"125","2017-12-18","IND","BOS",0.588235294117647,0.8125,0.5,0.7,0.476190476190476,"Loss"
"126","2017-12-18","ATL","MIA",0.285714285714286,0.461538461538462,0.3,0.5,0.416666666666667,"Win"
"127","2017-12-18","CHI","PHI",0.428571428571429,0.5,0.6,0.3,0.80952380952381,"Win"
"128","2017-12-18","HOU","UTA",0.8125,0.6875,1,0.4,0.681818181818182,"Win"
"129","2017-12-18","MIN","POR",0.647058823529412,0.466666666666667,0.6,0.4,0.291666666666667,"Win"
"130","2017-12-18","OKC","DEN",0.714285714285714,0.846153846153846,0.7,0.5,0.625,"Win"
"131","2017-12-18","DAL","PHO",0.352941176470588,0.25,0.3,0.3,0.476190476190476,"Loss"
"132","2017-12-18","SA","LAC",0.882352941176471,0.461538461538462,0.7,0.3,0.523809523809524,"Win"
"133","2017-12-18","LAL","GS",0.428571428571429,0.769230769230769,0.2,0.9,0.291666666666667,"Loss"
"134","2017-12-19","PHI","SAC",0.466666666666667,0.416666666666667,0.2,0.4,0.5,"Loss"
"135","2017-12-19","WAS","NO",0.6,0.533333333333333,0.6,0.4,0.916666666666667,"Win"
"136","2017-12-19","MIL","CLE",0.666666666666667,0.764705882352941,0.6,0.8,0.333333333333333,"Win"
"137","2017-12-20","CHA","TOR",0.5,0.916666666666667,0.3,0.9,0.454545454545455,"Loss"
"138","2017-12-20","ATL","IND",0.266666666666667,0.588235294117647,0.3,0.6,0.5,"Loss"
"139","2017-12-20","BOS","MIA",0.764705882352941,0.461538461538462,0.6,0.6,0.571428571428571,"Loss"
"140","2017-12-20","BKN","SAC",0.375,0.416666666666667,0.4,0.5,0.583333333333333,"Loss"
"141","2017-12-20","CHI","ORL",0.466666666666667,0.428571428571429,0.7,0.2,0.727272727272727,"Win"
"142","2017-12-20","HOU","LAL",0.764705882352941,0.428571428571429,0.9,0.3,0.727272727272727,"Loss"
"143","2017-12-20","OKC","UTA",0.733333333333333,0.6875,0.7,0.3,0.75,"Win"
"144","2017-12-20","DAL","DET",0.388888888888889,0.642857142857143,0.4,0.3,0.583333333333333,"Win"
"145","2017-12-20","DEN","MIN",0.785714285714286,0.647058823529412,0.4,0.6,0.541666666666667,"Loss"
