"","team1","team2","hist_win","hist_lost","hist_rate"
"217","DEN","DAL",24,20,0.545454545454545
"219","DEN","DET",16,8,0.666666666666667
"220","DEN","GS",20,24,0.454545454545455
"221","DEN","HOU",16,26,0.380952380952381
"222","DEN","IND",18,6,0.75
"223","DEN","LAC",20,22,0.476190476190476
"224","DEN","LAL",32,12,0.727272727272727
"225","DEN","MEM",18,26,0.409090909090909
"226","DEN","MIA",8,16,0.333333333333333
"227","DEN","MIL",20,4,0.833333333333333
"228","DEN","MIN",26,22,0.541666666666667
"229","DEN","NO",26,16,0.619047619047619
"230","DEN","NY",16,8,0.666666666666667
"231","DEN","OKC",18,30,0.375
"232","DEN","ORL",18,6,0.75
"233","DEN","PHI",10,14,0.416666666666667
"234","DEN","PHO",22,20,0.523809523809524
"235","DEN","POR",16,32,0.333333333333333
"236","DEN","SA",10,34,0.227272727272727
"237","DEN","SAC",24,20,0.545454545454545
"238","DEN","TOR",10,14,0.416666666666667
"239","DEN","UTA",22,26,0.458333333333333
"240","DEN","WAS",10,14,0.416666666666667
"241","DET","ATL",20,24,0.454545454545455
"242","DET","BKN",22,22,0.5
"243","DET","BOS",20,22,0.476190476190476
"244","DET","CHA",20,22,0.476190476190476
"245","DET","CHI",24,24,0.5
"246","DET","CLE",24,24,0.5
"247","DET","DAL",10,14,0.416666666666667
"248","DET","DEN",8,16,0.333333333333333
"250","DET","GS",4,20,0.166666666666667
"251","DET","HOU",10,14,0.416666666666667
"252","DET","IND",14,34,0.291666666666667
"253","DET","LAC",4,20,0.166666666666667
"254","DET","LAL",8,16,0.333333333333333
"255","DET","MEM",6,18,0.25
"256","DET","MIA",20,24,0.454545454545455
"257","DET","MIL",26,22,0.541666666666667
"258","DET","MIN",12,12,0.5
"259","DET","NO",2,22,0.0833333333333333
"260","DET","NY",22,20,0.523809523809524
"261","DET","OKC",8,16,0.333333333333333
"262","DET","ORL",22,20,0.523809523809524
"263","DET","PHI",24,20,0.545454545454545
"264","DET","PHO",16,8,0.666666666666667
"265","DET","POR",12,12,0.5
"266","DET","SA",8,16,0.333333333333333
"267","DET","SAC",16,8,0.666666666666667
"268","DET","TOR",12,32,0.272727272727273
"269","DET","UTA",6,18,0.25
"270","DET","WAS",20,24,0.454545454545455
"271","GS","ATL",22,2,0.916666666666667
"272","GS","BKN",20,4,0.833333333333333
"273","GS","BOS",16,8,0.666666666666667
"274","GS","CHA",18,6,0.75
"275","GS","CHI",14,10,0.583333333333333
"276","GS","CLE",18,6,0.75
"277","GS","DAL",38,6,0.863636363636364
"278","GS","DEN",24,20,0.545454545454545
"279","GS","DET",20,4,0.833333333333333
"281","GS","HOU",26,16,0.619047619047619
"282","GS","IND",14,10,0.583333333333333
"283","GS","LAC",38,10,0.791666666666667
"284","GS","LAL",34,14,0.708333333333333
"285","GS","MEM",24,18,0.571428571428571
"286","GS","MIA",18,6,0.75
"287","GS","MIL",16,8,0.666666666666667
"288","GS","MIN",34,8,0.80952380952381
"289","GS","NO",40,4,0.909090909090909
"290","GS","NY",20,4,0.833333333333333
"291","GS","OKC",28,16,0.636363636363636
"292","GS","ORL",20,4,0.833333333333333
"293","GS","PHI",22,2,0.916666666666667
"294","GS","PHO",42,6,0.875
"295","GS","POR",32,10,0.761904761904762
"296","GS","SA",20,24,0.454545454545455
"297","GS","SAC",36,12,0.75
"298","GS","TOR",22,2,0.916666666666667
"299","GS","UTA",30,14,0.681818181818182
"300","GS","WAS",20,4,0.833333333333333
"301","HOU","ATL",10,14,0.416666666666667
"302","HOU","BKN",18,6,0.75
"303","HOU","BOS",16,8,0.666666666666667
"304","HOU","CHA",22,2,0.916666666666667
"305","HOU","CHI",16,8,0.666666666666667
"306","HOU","CLE",20,4,0.833333333333333
"307","HOU","DAL",32,16,0.666666666666667
"308","HOU","DEN",26,16,0.619047619047619
"309","HOU","DET",14,10,0.583333333333333
"310","HOU","GS",16,26,0.380952380952381
"312","HOU","IND",12,12,0.5
"313","HOU","LAC",18,26,0.409090909090909
"314","HOU","LAL",32,12,0.727272727272727
"315","HOU","MEM",22,26,0.458333333333333
"316","HOU","MIA",12,12,0.5
"317","HOU","MIL",18,6,0.75
"318","HOU","MIN",38,6,0.863636363636364
"319","HOU","NO",34,14,0.708333333333333
"320","HOU","NY",22,2,0.916666666666667
"321","HOU","OKC",22,20,0.523809523809524
"322","HOU","ORL",20,4,0.833333333333333
"323","HOU","PHI",18,6,0.75
"324","HOU","PHO",34,10,0.772727272727273
"325","HOU","POR",28,16,0.636363636363636
"326","HOU","SA",22,26,0.458333333333333
"327","HOU","SAC",32,10,0.761904761904762
"328","HOU","TOR",12,12,0.5
"329","HOU","UTA",30,14,0.681818181818182
"330","HOU","WAS",16,8,0.666666666666667
"331","IND","ATL",22,22,0.5
"332","IND","BKN",30,14,0.681818181818182
"333","IND","BOS",20,22,0.476190476190476
"334","IND","CHA",24,20,0.545454545454545
"335","IND","CHI",26,22,0.541666666666667
"336","IND","CLE",28,20,0.583333333333333
"337","IND","DAL",14,10,0.583333333333333
"338","IND","DEN",6,18,0.25
"339","IND","DET",34,14,0.708333333333333
"340","IND","GS",10,14,0.416666666666667
"341","IND","HOU",12,12,0.5
"343","IND","LAC",16,8,0.666666666666667
"344","IND","LAL",16,8,0.666666666666667
"345","IND","MEM",12,12,0.5
"346","IND","MIA",24,20,0.545454545454545
